Project,Column,Type,Description,Range_Example
House Price Prediction,House_ID,String,Unique house identifier,H0001 - H0300
House Price Prediction,Area_sqft,Integer,Built-up area of the house,500 - 5000 sqft
House Price Prediction,Bedrooms,Integer,Number of bedrooms,1 - 6
House Price Prediction,Bathrooms,Integer,Number of bathrooms,1 - 5
House Price Prediction,Floors,Integer,Number of floors,1 - 3
House Price Prediction,Parking,Integer (binary),Parking availability,"0 = No, 1 = Yes"
House Price Prediction,House_Age,Integer,Age of the house in years,0 - 45
House Price Prediction,Location_Rating,Float,Locality desirability rating,1.0 - 10.0
House Price Prediction,Price,Integer,Target - Actual house price in Rs.,e.g. 8104000
House Price Prediction,Predicted_Price,Integer,Model-predicted house price in Rs.,e.g. 8050000
